n_estimators,test_accuracy
10,0.9272151898734177
25,0.9240506329113924
50,0.9272151898734177
75,0.930379746835443
100,0.930379746835443
150,0.930379746835443
200,0.930379746835443
300,0.930379746835443
400,0.930379746835443
500,0.930379746835443
