model_key,model,accuracy,train_accuracy,precision_macro,recall_macro,f1_macro,auc,false_positives,false_negatives,cv_accuracy_mean,cv_accuracy_std
decision_tree,Arbre de decision,0.8987341772151899,0.9373015873015873,0.6048375129841222,0.614043583535109,0.6091527520098949,0.7519774011299435,15,17,,
random_forest,Foret aleatoire,0.930379746835443,1.0,0.4666666666666667,0.49830508474576274,0.4819672131147541,0.7659402744148506,21,1,0.9340084388185655,0.002419568513442402
logistic_regression,Regression logistique,0.939873417721519,0.9444444444444444,0.8461538461538461,0.5697336561743341,0.604349258649094,0.839225181598063,18,1,,
